BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2017-09-01,Yandex clA,YNDX,3232,205239892.5,1746.5,1740.0,1867.5,1820.0,1805.0,1820.0,113715,1805.0,1805.0,1820.0,205239892.5,205239892.5,205239892.5,,3,SUR,3.88
TQBR,2017-09-04,Yandex clA,YNDX,1296,37640573.0,1817.0,1817.0,1837.5,1833.0,1828.5,1833.0,20587,1828.5,1828.5,1833.0,37640573.0,37640573.0,37640573.0,,3,SUR,0.71
TQBR,2017-09-05,Yandex clA,YNDX,3008,164572539.0,1831.5,1821.0,1886.0,1868.5,1865.5,1863.0,88227,1865.5,1865.5,1868.5,164572539.0,164572539.0,164572539.0,,3,SUR,1.64
TQBR,2017-09-06,Yandex clA,YNDX,2978,94412985.5,1861.5,1821.0,1885.0,1843.0,1857.5,1843.0,50823,1857.5,1857.5,1843.0,94412985.5,94412985.5,94412985.5,,3,SUR,-1.07
TQBR,2017-09-07,Yandex clA,YNDX,1567,63479676.0,1849.0,1798.0,1854.0,1820.0,1824.0,1820.0,34801,1824.0,1824.0,1820.0,63479676.0,63479676.0,63479676.0,,3,SUR,-1.25
TQBR,2017-09-08,Yandex clA,YNDX,2495,108075024.0,1855.5,1851.5,1897.0,1865.5,1875.0,1865.5,57644,1875.0,1875.0,1865.5,108075024.0,108075024.0,108075024.0,,3,SUR,2.5
TQBR,2017-09-11,Yandex clA,YNDX,3008,146432040.5,1859.5,1835.5,1881.5,1867.0,1858.0,1867.0,78812,1858.0,1858.0,1867.0,146432040.5,146432040.5,146432040.5,,3,SUR,0.08
TQBR,2017-09-12,Yandex clA,YNDX,2932,120652658.5,1867.0,1867.0,1938.0,1903.5,1906.0,1903.5,63303,1906.0,1906.0,1903.5,120652658.5,120652658.5,120652658.5,,3,SUR,1.96
TQBR,2017-09-13,Yandex clA,YNDX,2378,172705584.5,1903.0,1874.0,1925.0,1876.0,1888.5,1876.0,91462,1888.5,1888.5,1876.0,172705584.5,172705584.5,172705584.5,,3,SUR,-1.44
TQBR,2017-09-14,Yandex clA,YNDX,2043,146419101.0,1871.5,1841.0,1882.0,1858.0,1861.0,1858.0,78682,1861.0,1861.0,1858.0,146419101.0,146419101.0,146419101.0,,3,SUR,-0.96
TQBR,2017-09-15,Yandex clA,YNDX,2473,118672036.5,1869.0,1850.5,1913.5,1895.0,1886.0,1895.0,62930,1886.0,1886.0,1895.0,118672036.5,118672036.5,118672036.5,,3,SUR,1.99
TQBR,2017-09-18,Yandex clA,YNDX,1573,64518285.0,1890.0,1863.0,1908.0,1895.0,1885.0,1893.5,34230,1885.0,1885.0,1895.0,64518285.0,64518285.0,64518285.0,,3,SUR,-0.08
TQBR,2017-09-19,Yandex clA,YNDX,1983,105681376.0,1892.5,1840.0,1894.0,1873.0,1865.0,1872.5,56666,1865.0,1865.0,1873.0,105681376.0,105681376.0,105681376.0,,3,SUR,-1.11
TQBR,2017-09-20,Yandex clA,YNDX,1273,53131471.5,1880.0,1863.5,1891.0,1872.0,1874.5,1872.0,28348,1874.5,1874.5,1872.0,53131471.5,53131471.5,53131471.5,,3,SUR,-0.03
TQBR,2017-09-21,Yandex clA,YNDX,2551,128698439.5,1884.5,1860.0,1894.5,1872.0,1878.5,1872.0,68504,1878.5,1878.5,1872.0,128698439.5,128698439.5,128698439.5,,3,SUR,0.0
TQBR,2017-09-22,Yandex clA,YNDX,2303,135427371.5,1875.0,1867.0,1930.0,1922.0,1902.5,1922.0,71190,1902.5,1902.5,1922.0,135427371.5,135427371.5,135427371.5,,3,SUR,2.67
TQBR,2017-09-25,Yandex clA,YNDX,5565,319818610.0,1900.5,1846.0,1936.0,1853.0,1882.0,1853.0,169934,1882.0,1882.0,1853.0,319818610.0,319818610.0,319818610.0,,3,SUR,-3.59
TQBR,2017-09-26,Yandex clA,YNDX,3495,146129428.5,1864.5,1831.5,1885.0,1848.0,1860.0,1848.0,78570,1860.0,1860.0,1848.0,146129428.5,146129428.5,146129428.5,,3,SUR,-0.27
TQBR,2017-09-27,Yandex clA,YNDX,1984,84639032.5,1857.5,1841.0,1880.0,1867.0,1865.5,1867.0,45374,1865.5,1865.5,1867.0,84639032.5,84639032.5,84639032.5,,3,SUR,1.03
TQBR,2017-09-28,Yandex clA,YNDX,2546,129496183.5,1876.0,1846.5,1901.5,1856.0,1870.0,1856.5,69245,1870.0,1870.0,1856.0,129496183.5,129496183.5,129496183.5,,3,SUR,-0.56
TQBR,2017-09-29,Yandex clA,YNDX,1297,60376158.5,1865.5,1850.0,1877.0,1873.0,1868.0,1873.0,32317,1868.0,1868.0,1873.0,60376158.5,60376158.5,60376158.5,,3,SUR,0.89
TQBR,2017-10-02,Yandex clA,YNDX,3637,152669880.0,1880.5,1880.5,1940.0,1906.5,1913.0,1906.5,79811,1913.0,1913.0,1906.5,152669880.0,152669880.0,152669880.0,,3,SUR,1.79
TQBR,2017-10-03,Yandex clA,YNDX,3494,156084242.5,1914.5,1901.0,1974.5,1961.0,1944.5,1961.0,80270,1944.5,1944.5,1961.0,156084242.5,156084242.5,156084242.5,,3,SUR,2.86
TQBR,2017-10-04,Yandex clA,YNDX,2423,87956429.5,1951.0,1933.0,1992.5,1942.5,1968.5,1942.5,44684,1968.5,1968.5,1942.5,87956429.5,87956429.5,87956429.5,,3,SUR,-0.94
TQBR,2017-10-05,Yandex clA,YNDX,2111,106463338.5,1934.5,1911.0,1972.0,1925.0,1938.5,1925.0,54926,1938.5,1938.5,1925.0,106463338.5,106463338.5,106463338.5,,3,SUR,-0.9
TQBR,2017-10-06,Yandex clA,YNDX,2417,117225632.0,1939.0,1890.5,1960.0,1893.0,1918.0,1893.0,61115,1918.0,1918.0,1893.0,117225632.0,117225632.0,117225632.0,,3,SUR,-1.66
TQBR,2017-10-09,Yandex clA,YNDX,2062,67084412.5,1907.5,1890.0,1924.0,1920.0,1905.0,1920.0,35213,1905.0,1905.0,1920.0,67084412.5,67084412.5,67084412.5,,3,SUR,1.43
TQBR,2017-10-10,Yandex clA,YNDX,4874,252992771.5,1910.0,1838.0,1910.0,1840.0,1860.5,1840.0,135995,1860.5,1860.5,1840.0,252992771.5,252992771.5,252992771.5,,3,SUR,-4.17
TQBR,2017-10-11,Yandex clA,YNDX,2513,117189930.5,1854.5,1830.0,1864.0,1855.5,1849.0,1855.5,63386,1849.0,1849.0,1855.5,117189930.5,117189930.5,117189930.5,,3,SUR,0.84
TQBR,2017-10-12,Yandex clA,YNDX,2196,84729688.5,1855.0,1833.5,1878.0,1863.0,1855.0,1863.0,45672,1855.0,1855.0,1863.0,84729688.5,84729688.5,84729688.5,,3,SUR,0.4
